item_id,user_id,region,city,parent_category_name,category_name,param_1,param_2,param_3,title,description,price,item_seq_number,activation_date,user_type,image,image_top_1,deal_probability
680440e509e7,647bf4dd579b,21,4,0,6,2,43,49,Беременным,Материал велюр.утепленная двоечка.покупала на выход.состояние отличное.носила 5.6 раз.,-0.28725254510991505,56,2017-03-19,1,e3066db800b0ae61a3c7aeabd48c17c14c7fbc9c3c5244b57d33a3af9df197e1,194,0.0
c6e2d0c23f7f,7cbd304056fb,23,156,0,6,2,43,44,Распродаю вещи!,"В связи с интересным положением распродаю свои вещи, а именно платья, блузки и др. Фото не все, подробности по телефону.",-0.2859375841812662,159,2017-03-17,1,28940cdcbeb76c8c677ca88b3a03144f15aa31f4308dd04518b726be0da82ce6,214,0.0
b4d081847ee1,fa71fce89585,9,84,0,6,2,28,119,Продам стеганую куртку,"Стеганая куртка/
Немецкий размер 40/
Цена 4000 рублей/
/
Шик для холодного времени года! Теплая стеганая куртка с эффектным стеганым узором. Воротник-стойка, застежка на кнопки и потайную двухстороннюю молнию, карманы на молнии с тонкой отстрочкой и дополнительный внутренний карман на пуговице. Капюшон на молнии с кулиской и фиксаторами и подкладкой из мягкого искусственного меха. Придающие форму швы выгодно подчеркивают фигуру./
/
Цвета	черничный/
Уход	Машинная стирка./
Материал	100% полиамид/
Подкладка	100% полиэстер",-0.2846226232526173,10,2017-03-27,1,48ee926d14d991ba0661f2a17e5683b9207586ab052496de211adb370d66b928,70,0.0
e8f1b6eb0c3a,de7683398fe9,9,147,0,6,2,40,37,Кроссовки alberto guardiani,Италия оригинал в хорошем очень состоянии вышлю почтой,-0.2859375841812662,321,2017-03-22,0,d5f5bd2ac9a0c1acc733b4b7bdc589801f465a00f982e4af20566c593e908f08,126,0.0
32ea01747dc4,1f46e1ecfdb9,17,141,0,6,3,32,34,Мужские джинсы Levis 501 Original Fit 34/34,"Абсолютно новые со всеми этикетками оригинальные джинсы Levis 501 Original Fit (HABER 005011966), размер W34/L34./
Плотный голубой деним (Heavyweight Denim) 100% хлопок, Турция.",-0.28497327950025697,20,2017-03-21,1,d3ecd52d34e172c38d242000639e7369e8bbec0df0f427221e0fe9c37c0cee1f,244,0.0
b6f6a8c118d5,32c3698e76a5,17,133,2,0,6,27,18,"ВАЗ 2115 Samara, 2004","Продаю машину в хорошем состоянии,сигнализация.",-0.19783520196179114,43,2017-03-20,0,5f5890b759147541b4fd99515e78d8b10d42f6a3fbb2e33f0bdd0e774fb75eae,12,0.0
01db5bef551c,bb3b2a4d6477,0,17,0,2,0,43,58,"Платье на год, есть многое др",Есть ещё многое другое,-0.28769086541946465,8,2017-03-18,1,804c0e6eca9df02d36ef18f5743221c825c5d6c236e55ac632cf24cdbc4dee52,51,0.0
033d46780722,3457da7b4919,21,68,2,0,6,13,104,"KIA Rio, 2009","Продаётся киа рио, в оиличном состоянии, птс оригинал (два хозяина), резина зима-лето, в комплектацию входит:/
Все 4 стеклоподъёмника, абс, кондиционер, обогрев зеркал и заднего, электрорегулировка зеркал, центральный замок, музыка, aux, usb, бортовой компьютер. Остальные вопросы по телефону, можно в кредит по двум документам через автосалон.",-0.02601364061833735,10,2017-03-18,0,063d74f866029820ee42fb9532d9ee12f41175cfe436529e6d9bdf531b9023a9,9,0.47967
e74209a8051f,8a4f9d20afa4,26,74,2,0,6,27,16,"ВАЗ 2113 Samara, 2010",Продам машину в отличном состояние!Все вопросы по телефону!Торг у Капота!,-0.13471707738664485,2,2017-03-23,1,a14bda4538601c67662e9e5760049ae2ae9075afc146e61bcdaaa6a8652c1358,65,0.07231
88b60db21d4e,36bce6a0ba32,23,162,0,2,1,28,59,Демисезонный комбинезон,"Состояние нормальное, носили от 8 мес до полутора лет.",-0.28769086541946465,31,2017-03-19,1,3ec58da1c8cb917be2b658c01cb059abeae6b6f8137345a9bb2c822014f68f03,151,0.0
ad1c857b9baf,fb3d9c1dc7d8,16,41,0,2,1,28,59,Комбинезон на мальчика ростом до 92см. Очень тёплы,"Продаю комбез на мальчика ростом до 92 см. Очень тёплый. Внутренняя подстёжкам 100% пух-перо, съемная, отстегнув  Ее комбез можно носить в сырую погоду. Тепло и комфортно. Натуральный мех на капюшоне-съемный.",-0.2863759044908158,126,2017-03-22,1,a73533b049f3d4103da4586b7e2246b929bd195e16db3de75f0877521f99f69a,264,0.0
24fa3f9e5509,74f070c776ea,0,139,0,6,2,28,47,Куртка весна-осень,"Все целое, пятен нет, капюшон отстегивается на молнии, пояс прилагается.",-0.28760320135755474,10,2017-03-27,1,654de48438553ac130d70fe96094312e1ab60dc96922333c968dc5a910575962,169,0.0
4aca8d49c058,38e6fcc9d034,11,112,1,4,5,2,120,"3-к квартира, 80 м², 4/16 эт.","Продаю 3-х комн. квартиру улучшеной планировки в кирпичном доме 2004 г. Комнаты изолированные 18,5/13/12 кв.м. , с/узел раздельный, кухня 12,5 кв.м., гардеробная комната. Хороший ремонт, окна ПВХ, лоджия застекленная.",5.147042652686361,17540,2017-03-16,2,5c46bc4c37e78d9c68c0aa54c1242fbc4860d75dbf6432780f8594a61d67ae1f,58,0.05193
348f12f292ec,6df6e49c4cbe,19,54,0,6,2,43,44,Новая фирменная двухслойная юбка,Новая фирменная двухслойная юбка  подойдёт 40-42-44,-0.2863759044908158,928,2017-03-16,0,46e9a7c46353a3f49953a9bb644a272c13d047c373af630e532522d3bd87c282,195,0.0
25d7a090aa32,03e70df00b69,19,113,0,2,0,40,27,Ботинки reima,Одеты пару раз. Состояние идеальное.Дочка отказалась в них ходить..Покупались в дет.мире.,-0.28655123261463566,62,2017-03-23,1,9df8e00663bf8b43219c289e093eba086fac73c11074dbd83c62e85b65cf3694,123,0.0
c155bc8cf485,41e145322d12,19,54,0,6,2,28,41,Горнолыжная куртка,"В отличном состоянии, мембрана 10 000",-0.28681422480036545,27,2017-03-17,1,db7e1705156f23eb972290973ab42c62a18846fe42c77c74f60ef1ae64e3f8ea,225,0.0
c946b36368d4,48160d5cf7e8,11,112,0,6,2,40,38,Сапоги осенние,Продаю сапоги осенние натуральные замшевые черные,-0.28549926387171654,27,2017-03-20,1,09de82c199ca03573ddc1e24217fe9f00d4808c1a605c7d686751dccd7558988,146,0.0
f1f2f241de89,5931f2b28c14,20,148,1,4,5,0,120,"1-к квартира, 38 м², 3/9 эт.","Продам квартиру по ул.Пирогова! Вопросы по: 412213. В квартире хороший ремонт, окна ПВХ, с/у кафель, остается практически вся мебель. Отличный район с развитой инфраструктурой!",0.982999711964904,1,2017-03-15,1,b1f269bf1ec29873b2805293c2c7a79b49d7e21f616dd7bed249e26210f37782,61,0.07612
c65dac7bd137,8d167b185caa,26,172,0,2,1,28,59,Весенняя-осенняя куртка,На рост 86см,-0.28751553729564483,10,2017-03-26,1,21c8757a023c7e77517e0aa9468055f5ab7f7e6d6da91c5fe7e8255ec934c476,159,0.0
228f6fc55103,ae00f11af628,16,123,0,6,2,32,33,Джинсы новые,"Продаю новые джинсы,производство Турция,пойдут на 50-52,реальному покупателю торг",-0.2870772169860952,67,2017-03-24,1,e3d67be38788d1d492bd623e3435b4865a162672b0a4c7e00b0c1aa426c5bdae,232,0.0
f6dccbfe0992,4e5af770ee4f,16,138,0,2,1,49,54,Костюм до 2 месяцев,"новый. подарили, а нам уже мал./
в магазине стоит 400р./
зжм, 2 Краснодарская 153/1./
звоните в любое время или пишите в ватсап.",-0.28795385760519443,367,2017-03-24,0,0b2c7afc35fc1811ac1c0aae46cb662e3f8f93a6d5d86b005caacee6244f77de,165,0.0
4dcea4740083,bd0b4e9b2c6d,0,27,0,6,2,40,36,В хорошем состоянии 36р,В хорошем состоянии,-0.28769086541946465,1,2017-03-17,1,7cc9acfd8147fc9264b746fa4d1fee9a83ed0fb668434316cc65f8b200a93a7a,107,0.0
5bbf1833abc1,eac0766e0e59,24,63,0,6,2,32,22,Новые джинсы,"Купили,так и не носили,стали малы,брали за 1500",-0.28760320135755474,49,2017-03-18,1,788ff1d21d2798efcb15cfdec6613ae1fdc7f075577530f520a6fc4fb8491ebe,182,0.0
f63a4cfae87e,9ad118dd2ef3,26,100,2,0,6,27,12,"ВАЗ 2109, 2002","Продам ВАЗ 21093!2002 г.в цвет белый!Карбюратор!/
Много чего поменяно:тросик газа,сцепление,продут карбюратор,поменян ремень грм,фильтр тонкой очистки,воздушный фильтр!ходовка в хорошем состоянии!музыка обычная,сигналка,надо подключить,косяки есть,но и год сам говорит за себя!/
Машина резвая,продаю в связи с уходом в армию,СРОЧНО!!!/
45т.р!ТОРГ❗️❗️❗️",-0.24868035786954787,1,2017-03-15,1,4b513819656c049753c1f207061d11f055b26ec4e17aea5bfd6356a1781221c5,63,0.7376
2387f3be64b0,0eeb3edb28b4,18,142,0,2,0,40,21,Осенние котофей,"На байке. /
Состояние на фото.",-0.2878661935432845,166,2017-03-17,1,3c5070acd08261e6ea2035b74b13cb27c8cb0b729b3d13bd63fae7752b49303f,256,0.0
